"id","dict_type","dict_label","dict_value","sort","status","create_time"
"1","project_type","电网基建","电网基建","1","1","19/5/2026 19:13:30"
"2","project_type","生产设备技改","生产设备技改","2","1","19/5/2026 19:13:30"
"3","project_type","科技创新","科技创新","3","1","19/5/2026 19:13:30"
"4","project_type","设备购置","设备购置","4","1","19/5/2026 19:13:30"
"5","project_type","生产设备大修","生产设备大修","5","1","19/5/2026 19:13:30"
"6","project_type","维修维护","维修维护","6","1","19/5/2026 19:13:30"
"7","project_type","设备更新","设备更新","7","1","19/5/2026 19:13:30"
"8","project_status","草稿","草稿","1","1","19/5/2026 19:13:30"
"9","project_status","待论证","待论证","2","1","19/5/2026 19:13:30"
"10","project_status","论证通过","论证通过","3","1","19/5/2026 19:13:30"
"11","project_status","待审核","待审核","4","1","19/5/2026 19:13:30"
"12","project_status","审核通过","审核通过","5","1","19/5/2026 19:13:30"
"13","project_status","已入库","已入库","6","1","19/5/2026 19:13:30"
"14","project_status","已过期","已过期","7","1","19/5/2026 19:13:30"
"15","project_source","外部系统拉取","SYNC","1","1","19/5/2026 19:13:30"
"16","project_source","Excel导入","IMPORT","2","1","19/5/2026 19:13:30"
"17","project_source","手动录入","MANUAL","3","1","19/5/2026 19:13:30"
"18","flow_type","论证","REVIEW","1","1","19/5/2026 19:13:30"
"19","flow_type","审核","AUDIT","2","1","19/5/2026 19:13:30"
"20","flow_result","通过","通过","1","1","19/5/2026 19:13:30"
"21","flow_result","不通过","不通过","2","1","19/5/2026 19:13:30"
"22","flow_result","驳回","驳回","3","1","19/5/2026 19:13:30"
