"id","dept_name","parent_id","sort","status","create_time"
"1","省公司","0","1","1","19/5/2026 19:13:30"
"2","成都供电公司","1","2","1","19/5/2026 19:13:30"
"3","绵阳供电公司","1","3","1","19/5/2026 19:13:30"
"4","宜宾供电公司","1","4","1","19/5/2026 19:13:30"
"5","德阳供电公司","1","5","1","19/5/2026 19:13:30"
"6","乐山供电公司","1","6","1","19/5/2026 19:13:30"
"7","自贡供电公司","1","7","1","19/5/2026 19:13:30"
"8","省公司运检部","1","8","1","19/5/2026 19:13:30"
"9","省公司安监部","1","9","1","19/5/2026 19:13:30"
"10","省公司信息中心","1","10","1","19/5/2026 19:13:30"
"11","省公司科技部","1","11","1","19/5/2026 19:13:30"
